Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area),Unnamed: 4,Geoid,geographic type
Westmorland city,2014,0.5900776374253471,3413.11019476619,,1600000US0684606,Rural
Winterhaven CDP,390,0.2436142561278276,1600.891533192384,,1600000US0686020,Rural
Inyo County,19016,10197.26077997273,1.864814523263654,,0500000US06027,Suburban
Big Pine CDP,1875,2.948509800045406,635.914454132432,,1600000US0606616,Rural
Bishop city,3819,1.86380516048723,2049.033923160535,,1600000US0606798,Rural
Cartago CDP,62,1.1694363062686,53.01699602420212,,1600000US0611600,Rural
Charleston View CDP,45,0.7525880428789632,59.793668562493,,1600000US0612730,Rural
Darwin CDP,36,1.345452179701219,26.75680380405228,,1600000US0618030,Rural
Dixon Lane-MeadowCreek CDP,2780,3.359623287829905,827.4737260187575,,1600000US0619406,Rural
Furnace Creek CDP,136,31.46244731635822,4.322613515487389,,1600000US0628021,Rural
Homewood Canyon CDP,40,10.24961312562066,3.902586322991369,,1600000US0634405,Rural
Independence CDP,593,4.861115958838419,121.9884497759851,,1600000US0636350,Rural
Keeler CDP,71,1.153359783906335,61.55928183964317,,1600000US0637918,Rural
Lone Pine CDP,2014,19.03472332690345,105.8066337719465,,1600000US0642580,Rural
Mesa CDP,275,3.502810437731758,78.50838773281606,,1600000US0647013,Rural
Olancha CDP,131,7.84250390349299,16.70384887429302,,1600000US0653490,Rural
Pearsonville CDP,8,4.111267696993191,1.945871830688832,,1600000US0656294,Rural
Round Valley CDP,482,13.98766596601992,34.45892982938806,,1600000US0663148,Rural
Shoshone CDP,22,28.71105734852826,0.7662553048095155,,1600000US0671680,Rural
Tecopa CDP,120,18.5891382508336,6.455382620795712,,1600000US0678050,Rural
Trona CDP,11,9.296154653998396,1.183284961300505,,1600000US0680515,Rural
Valley Wells CDP,0,10.66874441117102,0.0,,1600000US0681925,Rural
West Bishop CDP,2754,8.75852320551292,314.4365705700861,,1600000US0684120,Rural
Wilkerson CDP,543,5.727067847418598,94.81291552094153,,1600000US0685551,Rural
Kern County,909235,8134.645504149054,111.7731558844509,,0500000US06029,Urban
Alta Sierra CDP,103,1.015870343800821,101.3908916905984,,1600000US0601358,Rural
Arvin city,19495,4.819350900467493,4045.150561273495,,1600000US0602924,Suburban
Bakersfield city,403455,149.775433322471,2693.732817526552,,1600000US0603526,Urban
Bakersfield Country Club CDP,1715,0.7579544770091599,2262.668869992405,,1600000US0603546,Rural
Bear Valley Springs CDP,5592,38.87494420823571,143.845865605521,,1600000US0604734,Suburban
Benton Park CDP,5333,0.749956370454226,7111.08033760679,,1600000US0605356,Suburban
Bodfish CDP,2008,8.213661993800743,244.4707368668855,,1600000US0607274,Rural
Boron CDP,2086,13.71309133478611,152.1174145984449,,1600000US0607568,Rural
Buttonwillow CDP,1337,6.927108542587842,193.0098239085079,,1600000US0609332,Rural
California City city,14973,203.6106954935699,73.5373943088017,,1600000US0609780,Suburban
Casa Loma CDP,1804,0.3890446596663769,4636.999776701756,,1600000US0611696,Rural
Cherokee Strip CDP,206,0.0906316940464589,2272.935557117601,,1600000US0612860,Rural
China Lake Acres CDP,1757,5.209108690851077,337.2937875314207,,1600000US0613157,Rural
Choctaw Valley CDP,237,2.272407053623414,104.2946947476233,,1600000US0613278,Rural
Cottonwood CDP,3971,0.4631067788731068,8574.696336043207,,1600000US0616623,Rural
Delano city,51428,14.71621181256438,3494.649346925809,,1600000US0618394,Urban
